ID,HU_1,HU_2,OCR_1,OCR_2,OCR_3
10,0.0011666604941341751,2.972765539719935e-09,,,
11,0.0009107714488017308,6.797071457921123e-10,,,
1,0.0007593141971162256,8.124000414445178e-10,SEUR,,
2,0.0013790842671690408,4.77829449136355e-10,2002,,
3,0.0009166490168014695,1.33662678989752e-11,EYPQ,20,
4,0.000892076486282335,1.704005769246678e-10,2,EURO,
4,0.001169331877020445,1.6394059700403654e-10,,,
5,0.0018838296143333416,1.3119283888025545e-10,,,
6,0.0020706212055003406,1.529538646819646e-09,,,
7,0.0012850560237110341,1.2668480388582134e-10,,,
8,0.002149177676153577,3.2863929351397474e-09,,,
9,0.0012439514735314858,4.457926593774921e-09,,,
8,0.00159591395634637,1.3392361605858387e-08,,,
8,0.0013153642965276504,9.474732650358122e-09,,,
-1,0.0016000331014196468,1.80608707512008e-09,,,
-1,0.001464724865799692,8.988456923097826e-10,,,
-1,0.0017323077096313521,1.8807873546597223e-09,,,
-1,0.0019275633020353743,3.8205699205285864e-09,IN,,
-1,0.0014049868898644582,2.315049291033856e-09,,,
-1,0.001860832717107981,1.7380029883085183e-09,(,,
-1,0.001738028316591732,1.1641285118319316e-09,,,
-1,0.0016199833175975001,2.1226712835226876e-09,,,
